,audio_file,annotation_file,annotation,start_time,end_time,low_f,high_f,View,Low Freq (Hz),Annotation,Selection,Begin Time (s),End Time (s),Channel,High Freq (Hz)
10,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.Table.1.selections.txt,PIKA,90.698361764,90.793756067,2525.851,3822.91,Spectrogram 1,,,3,,,1,
11,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.Table.1.selections.txt,PIKA,94.056730429,94.159462756,2525.851,3891.176,Spectrogram 1,,,4,,,1,
12,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.Table.1.selections.txt,PIKA?,100.434695685,100.566780104,2457.585,4095.975,Spectrogram 1,,,7,,,1,
13,./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.mp3,./raven_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.Table.1.selections.txt,PIKA,106.173029909,106.251302158,2321.053,3481.579,Spectrogram 1,,,8,,,1,
14,./audio_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.Table.1.selections.txt,PIKA,24.868026037,24.985638067,2080.495,3046.44,Spectrogram 1,,,1,,,1,
15,./audio_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.Table.1.selections.txt,PIKA,34.51913087,34.643661255,2340.557,3009.288,Spectrogram 1,,,2,,,1,
16,./audio_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.Table.1.selections.txt,PIKA,39.448458607,39.56261146,2266.254,2934.985,Spectrogram 1,,,3,,,1,
17,./audio_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.Table.1.selections.txt,PIKA,54.997460838,55.104695336,2340.557,2972.136,Spectrogram 1,,,4,,,1,
18,./audio_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.Table.1.selections.txt,PIKA,291.283488729,291.390723227,1786.375,2915.995,Spectrogram 1,,,5,,,1,
19,./audio_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210707_033000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210707_033000.Table.1.selections.txt,PIKA,150.606732924,150.738181663,2414.861,3157.895,Spectrogram 1,,,1,,,1,
20,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,47.857718768,47.961494089,2172.219,3572.093,Spectrogram 1,,,1,,,1,
21,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,164.40778154,164.51155686,2082.121,3754.644,Spectrogram 1,,,2,,,1,
22,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,168.977354831,169.088048507,2268.762,3909.994,Spectrogram 1,,,3,,,1,
23,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,172.203037719,172.334486459,2123.947,3861.722,Spectrogram 1,,,4,,,1,
24,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,175.075884516,175.196955724,2220.49,3861.722,Spectrogram 1,,,5,,,1,
25,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,177.929705838,178.061154577,2268.762,3861.722,Spectrogram 1,,,6,,,1,
26,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,181.212465152,181.340454714,2220.49,3861.722,Spectrogram 1,,,7,,,1,
27,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,184.121633311,184.242704519,2220.49,3813.451,Spectrogram 1,,,8,,,1,
28,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,187.501249591,187.622320799,2220.49,3909.994,Spectrogram 1,,,9,,,1,
29,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,191.807925404,191.908241547,2317.033,3861.722,Spectrogram 1,,,10,,,1,
30,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,198.574076319,198.684769994,2172.219,3765.179,Spectrogram 1,,,11,,,1,
31,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,203.832025905,203.95655629,2558.391,3909.994,Spectrogram 1,,,12,,,1,
32,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,209.159159039,209.30098531,2268.762,3909.994,Spectrogram 1,,,13,,,1,
33,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,269.241610595,269.362681802,2027.404,3668.636,Spectrogram 1,,,14,,,1,
34,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,273.731622807,273.835398128,2123.947,3620.365,Spectrogram 1,,,15,,,1,
35,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,276.170342846,276.267199812,1834.318,3475.55,Spectrogram 1,,,16,,,1,
36,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,278.270063503,278.360002114,1979.133,3523.822,Spectrogram 1,,,17,,,1,
37,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,280.490855368,280.594630688,2123.947,3475.55,Spectrogram 1,,,18,,,1,
38,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,282.514474123,282.607871912,2172.219,3523.822,Spectrogram 1,,,19,,,1,
39,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,282.978003889,283.095615919,1930.861,3523.822,Spectrogram 1,,,20,,,1,
40,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,285.645029633,285.738427422,2075.676,3523.822,Spectrogram 1,,,21,,,1,
41,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,288.405453166,288.526524374,2172.219,3475.55,Spectrogram 1,,,22,,,1,
42,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,288.8586054,288.965839898,2172.219,3572.093,Spectrogram 1,,,23,,,1,
43,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,291.740100141,291.857712171,2172.219,3668.636,Spectrogram 1,,,24,,,1,
44,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,292.521874224,292.636027077,2123.947,3523.822,Spectrogram 1,,,25,,,1,
45,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,294.618135704,294.732288557,1979.133,3572.093,Spectrogram 1,,,26,,,1,
46,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,296.717856361,296.814713327,1882.59,3475.55,Spectrogram 1,,,27,,,1,
47,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.Table.1.selections.txt,PIKA,297.741772859,297.849007357,2027.404,3572.093,Spectrogram 1,,,28,,,1,
48,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210708_064500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210708_064500.Table.1.selections.txt,PIKA,116.556981126,116.646919738,2172.219,3523.822,Spectrogram 1,,,1,,,1,
49,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210708_064500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210708_064500.Table.1.selections.txt,PIKA,125.27756725,125.360587506,2268.762,3668.636,Spectrogram 1,,,2,,,1,
50,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210708_064500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210708_064500.Table.1.selections.txt,PIKA,129.556569643,129.670722496,2123.947,3668.636,Spectrogram 1,,,3,,,1,
51,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210708_064500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210708_064500.Table.1.selections.txt,PIKA,133.247511886,133.365123916,2123.947,3765.179,Spectrogram 1,,,4,,,1,
52,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210708_064500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210708_064500.Table.1.selections.txt,PIKA,137.360473766,137.485004151,2365.305,3813.451,Spectrogram 1,,,5,,,1,
53,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248919-T2_20210617_061500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248919-T2_20210617_061500.Table.1.selections.txt,PIKA,250.655450643,250.748848431,2117.647,3455.108,Spectrogram 1,,,1,,,1,
54,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248919-T2_20210617_061500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248919-T2_20210617_061500.Table.1.selections.txt,PIKA,253.664934945,253.754873557,2154.799,3380.805,Spectrogram 1,,,2,,,1,
55,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248919-T2_20210617_061500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248919-T2_20210617_061500.Table.1.selections.txt,PIKA,256.349256576,256.453031897,2191.95,3492.26,Spectrogram 1,,,3,,,1,
56,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248919-T2_20210617_061500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248919-T2_20210617_061500.Table.1.selections.txt,PIKA,259.38295512,259.479812086,2340.557,3455.108,Spectrogram 1,,,4,,,1,
57,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248919-T2_20210617_061500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-248919-T2_20210617_061500.Table.1.selections.txt,PIKA,262.22639891,262.326715053,2229.102,3417.957,Spectrogram 1,,,5,,,1,
58,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-254641-T1_20210702_061500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-254641-T1_20210702_061500.Table.1.selections.txt,PIKA,173.859369811,173.945849245,2317.033,3716.908,Spectrogram 1,,,1,,,1,
59,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210616_090000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210616_090000.Table.1.selections.txt,PIKA,142.014263159,142.131671531,1882.59,3572.093,Spectrogram 1,,,1,,,1,
60,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210616_090000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210616_090000.Table.1.selections.txt,PIKA,168.107414472,168.221945363,1979.133,3572.093,Spectrogram 1,,,2,,,1,
61,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.Table.1.selections.txt,PIKA,86.891076092,87.046739073,2461.848,3716.908,Spectrogram 1,,,1,,,1,
62,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.Table.1.selections.txt,PIKA,91.19083355,91.349955708,2413.577,3620.365,Spectrogram 1,,,2,,,1,
63,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.Table.1.selections.txt,PIKA,94.259123867,94.418246026,2365.305,3668.636,Spectrogram 1,,,3,,,1,
64,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.Table.1.selections.txt,PIKA,97.278985702,97.431189506,2365.305,3668.636,Spectrogram 1,,,4,,,1,
65,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.Table.1.selections.txt,PIKA,100.305765892,100.468347228,2413.577,3716.908,Spectrogram 1,,,5,,,1,
66,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.Table.1.selections.txt,PIKA,103.719973946,103.872177749,2413.577,3620.365,Spectrogram 1,,,6,,,1,
67,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.Table.1.selections.txt,PIKA,107.269089916,107.428212075,2461.848,3668.636,Spectrogram 1,,,7,,,1,
68,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.Table.1.selections.txt,PIKA,110.838960951,111.001542287,2413.577,3572.093,Spectrogram 1,,,8,,,1,
69,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.Table.1.selections.txt,PIKA,115.325513986,115.481176968,2365.305,3572.093,Spectrogram 1,,,9,,,1,
70,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T4_20210628_043000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T4_20210628_043000.Table.1.selections.txt,PIKA,160.364003206,160.498911123,2049.077,3099.886,Spectrogram 1,,,1,,,1,
71,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.Table.1.selections.txt,PIKA?,94.660557156,94.771250832,2558.391,4006.537,Spectrogram 1,,,1,,,1,
72,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.Table.1.selections.txt,PIKA?,106.276474729,106.373331695,2317.033,3379.007,Spectrogram 1,,,2,,,1,
73,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.Table.1.selections.txt,PIKA,131.306251864,131.448078136,2365.305,3475.55,Spectrogram 1,,,3,,,1,
74,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.Table.1.selections.txt,PIKA,132.101862657,132.236770574,2075.676,3330.736,Spectrogram 1,,,4,,,1,
75,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.Table.1.selections.txt,PIKA,134.793102643,134.955683979,2268.762,3523.822,Spectrogram 1,,,5,,,1,
76,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.Table.1.selections.txt,PIKA,137.702270802,137.854474606,2220.49,3427.279,Spectrogram 1,,,6,,,1,
77,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.Table.1.selections.txt,PIKA,140.251684516,140.41599544,2437.712,3427.279,Spectrogram 1,,,7,,,1,
78,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.Table.1.selections.txt,PIKA,142.859904245,143.032863113,2172.219,3475.55,Spectrogram 1,,,9,,,1,
79,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.Table.1.selections.txt,PIKA,145.575358472,145.737939808,2123.947,3379.007,Spectrogram 1,,,10,,,1,
80,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210701_070000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210701_070000.Table.1.selections.txt,PIKA,58.907028703,59.009761029,2027.404,2944.563,Spectrogram 1,,,1,,,1,
81,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210701_070000.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210701_070000.Table.1.selections.txt,PIKA,72.767331722,72.855388001,2027.404,2896.292,Spectrogram 1,,,2,,,1,
82,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.Table.1.selections.txt,PIKA,63.254517195,63.382506757,1894.737,2452.012,Spectrogram 1,,,1,,,1,
83,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.Table.1.selections.txt,PIKA,67.668427505,67.820631309,2452.012,3640.867,Spectrogram 1,,,2,,,1,
84,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.Table.1.selections.txt,PIKA,71.103390623,71.245216895,1894.737,2452.012,Spectrogram 1,,,3,,,1,
85,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.Table.1.selections.txt,PIKA,76.3475035,76.492788949,1969.04,2452.012,Spectrogram 1,,,4,,,1,
86,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.Table.1.selections.txt,PIKA,263.921395816,264.035548669,1894.737,2526.316,Spectrogram 1,,,5,,,1,
87,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.Table.1.selections.txt,PIKA,268.165806436,268.297255176,2006.192,2489.164,Spectrogram 1,,,6,,,1,
88,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.Table.1.selections.txt,PIKA,271.690708165,271.804861018,1969.04,2452.012,Spectrogram 1,,,7,,,1,
89,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.Table.1.selections.txt,PIKA,274.886988045,275.02535514,2006.192,2489.164,Spectrogram 1,,,9,,,1,
90,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.Table.1.selections.txt,PIKA,278.252767616,278.370379646,1931.889,2489.164,Spectrogram 1,,,10,,,1,
91,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.Table.1.selections.txt,PIKA,281.774210168,281.891822198,1931.889,2563.467,Spectrogram 1,,,11,,,1,
92,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.Table.1.selections.txt,PIKA,285.008540999,285.184959044,2526.316,3715.17,Spectrogram 1,,,12,,,1,
93,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.Table.1.selections.txt,PIKA,289.073074396,289.246033264,1969.04,2452.012,Spectrogram 1,,,13,,,1,
94,./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210702_051500.mp3,./raven_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210702_051500.Table.1.selections.txt,PIKA,26.760196053,26.888185615,2637.771,3640.867,Spectrogram 1,,,1,,,1,
