file,start_time,end_time,PIKA
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T1_20210615_044500.mp3,97.24,97.54,False
./audio_data\Original_data\PIKARU3_20240720_112002.wav,424.16,424.46,False
./audio_data\Original_data\PIKARU14_20240726_191002.wav,590.04,590.3399999999999,False
./audio_data\Original_data\PIKARU11_20240728_131002.wav,255.86,256.16,False
./audio_data\Original_data\PIKARU4_20240722_113002.wav,412.06,412.36,False
./audio_data\Original_data\PIKARU23_20240813_084002.wav,427.46,427.76,False
./audio_data\Original_data\PIKARU15_20240731_092002.wav,309.76,310.06,False
./audio_data\Original_data\PIKARU8_20240722_145002.wav,254.32,254.62,False
./audio_data\Original_data\PIKARU25_20240810_185002.wav,305.14,305.44,False
./audio_data\Original_data\PIKARU10_20240724_133002.wav,164.34,164.64,False
./audio_data\New_data\PIKARU7_20240722_110002.wav,321.64,321.94,True
./audio_data\New_data\PIKARU6_20240722_114002.wav,175.34,175.64,True
./audio_data\Original_data\PIKARU3_20240725_154002.wav,495.66,495.96,False
./audio_data\Original_data\PIKARU15_20240728_110002.wav,579.92,580.2199999999999,False
./audio_data\Original_data\PIKARU7_20240722_171002.wav,268.62,268.92,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210702_051500.mp3,157.74,158.04000000000002,False
./audio_data\Original_data\PIKARU2_20240725_170002.wav,423.94,424.24,False
./audio_data\Original_data\PIKARU8_20240722_145002.wav,248.38,248.68,False
./audio_data\Original_data\PIKARU4_20240722_113002.wav,582.56,582.8599999999999,False
./audio_data\New_data\PIKARU8_20240720_133002.wav,498.3,498.6,True
./audio_data\Original_data\Pika_Camp_recording_2.wav,42.68,42.98,True
./audio_data\Original_data\PIKARU9_20240724_125002.wav,36.74,37.04,False
./audio_data\Original_data\PIKARU25_20240809_100002.wav,266.86,267.16,False
./audio_data\Original_data\PIKARU1_20240725_135002.wav,498.08,498.38,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210701_070000.mp3,228.58,228.88,False
./audio_data\Original_data\PIKARU10_20240719_150002.wav,63.58,63.88,False
./audio_data\Original_data\PIKARU1_20240718_175002.wav,285.34,285.64,False
./audio_data\Original_data\PIKARU23_20240808_202002.wav,581.02,581.3199999999999,False
./audio_data\Original_data\PIKARU25_20240808_193002.wav,579.04,579.3399999999999,True
./audio_data\New_data\PIKARU8_20240720_133002.wav,138.38,138.68,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210701_070000.mp3,58.74,59.04,True
./audio_data\Original_data\PIKARU23_20240809_192002.wav,189.64,189.94,False
./audio_data\Original_data\PIKARU14_20240731_162002.wav,47.3,47.6,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210702_051500.mp3,124.52,124.82,False
./audio_data\Original_data\PIKARU8_20240722_145002.wav,201.3,201.6,False
./audio_data\New_data\PIKARU8_20240720_133002.wav,489.28,489.58,True
./audio_data\Original_data\PIKARU22_20240810_113002.wav,99.66,99.96,True
./audio_data\New_data\PIKARU12_20240726_191002.wav,227.48,227.78,False
./audio_data\Original_data\PIKARU12_20240729_094002.wav,7.26,7.56,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210704_083000.mp3,208.34,208.64,True
./audio_data\Original_data\PIKARU23_20240808_202002.wav,341.22,341.52000000000004,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-266936-T2_20210714_070000.mp3,186.12,186.42,False
./audio_data\Original_data\PIKARU2_20240724_090002.wav,585.42,585.7199999999999,False
./audio_data\New_data\PIKARU6_20240722_114002.wav,78.32,78.61999999999999,True
./audio_data\Original_data\PIKARU3_20240721_124002.wav,436.7,437.0,False
./audio_data\Original_data\PIKARU11_20240728_131002.wav,357.06,357.36,False
./audio_data\New_data\PIKARU7_20240722_110002.wav,218.46,218.76,False
./audio_data\Original_data\PIKARU25_20240809_151002.wav,149.82,150.12,False
./audio_data\Original_data\PIKARU23_20240808_202002.wav,178.2,178.5,False
./audio_data\Original_data\PIKARU23_20240808_202002.wav,247.94,248.24,False
./audio_data\Original_data\PIKARU2_20240724_090002.wav,30.58,30.88,False
./audio_data\Original_data\PIKARU8_20240722_145002.wav,186.12,186.42,True
./audio_data\Original_data\Pika_Camp_recording_2.wav,18.7,19.0,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210702_051500.mp3,279.62,279.92,True
./audio_data\Original_data\PIKARU12_20240728_095002.wav,31.46,31.76,False
./audio_data\Original_data\PIKARU15_20240729_113002.wav,505.56,505.86,False
./audio_data\Original_data\PIKARU4_20240720_141002.wav,141.9,142.20000000000002,False
./audio_data\Original_data\STE-039.wav,110.88,111.18,False
./audio_data\Original_data\PIKARU7_20240724_162002.wav,408.54,408.84,True
./audio_data\Original_data\PIKARU25_20240811_131002.wav,1.76,2.06,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T4_20210612_080000.mp3,220.22,220.52,False
./audio_data\New_data\PIKARU23_20240812_183002.wav,581.24,581.54,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T4_20210612_080000.mp3,172.04,172.34,True
./audio_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210707_033000.mp3,115.72,116.02,False
./audio_data\Original_data\PIKARU3_20240721_124002.wav,261.8,262.1,False
./audio_data\Original_data\PIKARU25_20240810_083002.wav,504.46,504.76,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210704_083000.mp3,193.6,193.9,True
./audio_data\Original_data\PIKARU6_20240724_135002.wav,186.78,187.08,True
./audio_data\Original_data\PIKARU25_20240809_100002.wav,554.4,554.6999999999999,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,267.96,268.26,False
./audio_data\New_data\PIKARU6_20240718_181002.wav,135.74,136.04000000000002,False
./audio_data\Original_data\PIKARU11_20240731_100002.wav,163.24,163.54000000000002,False
./audio_data\Original_data\PIKARU6_20240719_120002.wav,168.3,168.60000000000002,True
./audio_data\Original_data\PIKARU3_20240725_154002.wav,438.02,438.32,False
./audio_data\Original_data\Pika_Camp_recording_2.wav,0.0,0.3,False
./audio_data\Original_data\PIKARU25_20240809_151002.wav,336.38,336.68,False
./audio_data\New_data\PIKARU11_20240727_104002.wav,38.72,39.02,False
./audio_data\Original_data\PIKARU6_20240721_140002.wav,584.32,584.62,False
./audio_data\New_data\PIKARU5_20240724_115002.wav,280.5,280.8,False
./audio_data\New_data\PIKARU8_20240720_133002.wav,152.46,152.76000000000002,True
./audio_data\Original_data\PIKARU6_20240724_135002.wav,78.54,78.84,False
./audio_data\Original_data\PIKARU10_20240724_133002.wav,145.86,146.16000000000005,False
./audio_data\Original_data\PIKARU2_20240724_090002.wav,322.08,322.38,True
./audio_data\New_data\PIKARU11_20240727_104002.wav,491.48,491.78,True
./audio_data\New_data\PIKARU9_20240719_124002.wav,278.08,278.38,True
./audio_data\Original_data\PIKARU2_20240724_090002.wav,102.08,102.38,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,174.9,175.20000000000002,True
./audio_data\Original_data\PIKARU7_20240719_085002.wav,47.74,48.04,True
./audio_data\Original_data\PIKARU2_20240724_090002.wav,404.14,404.44,False
./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.mp3,87.78,88.08,False
./audio_data\Original_data\PIKARU23_20240810_095002.wav,393.8,394.1,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-261611-S3_20210615_074500.mp3,159.94,160.24,False
./audio_data\Original_data\PIKARU14_20240728_102002.wav,239.14,239.44,False
./audio_data\Original_data\PIKARU1_20240719_095002.wav,128.26,128.56,True
./audio_data\Original_data\PIKARU25_20240810_185002.wav,405.46,405.76,False
./audio_data\Original_data\PIKARU14_20240801_100002.wav,299.64,299.94,True
./audio_data\Original_data\PIKARU25_20240809_151002.wav,432.08,432.38,False
./audio_data\Original_data\PIKARU4_20240720_141002.wav,243.76,244.06,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,76.34,76.64,True
./audio_data\Original_data\PIKARU7_20240724_162002.wav,418.22,418.52,True
./audio_data\Original_data\PIKARU3_20240720_112002.wav,351.78,352.08,False
./audio_data\Original_data\PIKARU10_20240719_150002.wav,530.86,531.16,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-254641-T1_20210628_070000.mp3,46.64,46.94,False
./audio_data\Original_data\PIKARU6_20240724_135002.wav,527.78,528.0799999999999,False
./audio_data\New_data\PIKARU13_20240727_114002.wav,559.9,560.1999999999999,False
./audio_data\Original_data\PIKARU10_20240724_133002.wav,336.38,336.68,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T4_20210628_043000.mp3,196.9,197.2,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T2_20210607_034500.mp3,260.48,260.78000000000003,False
./audio_data\Original_data\PIKARU13_20240729_074002.wav,186.56,186.86,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.mp3,110.88,111.18,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-261611-S3_20210711_044500.mp3,169.62,169.92000000000002,False
./audio_data\Original_data\PIKARU14_20240726_191002.wav,44.0,44.3,False
./audio_data\New_data\PIKARU9_20240719_124002.wav,70.84,71.14,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T2_20210614_031500.mp3,127.82,128.12,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T4_20210610_060000.mp3,185.46,185.76,False
./audio_data\Original_data\PIKARU15_20240726_194002.wav,151.8,152.10000000000002,True
./audio_data\Original_data\PIKARU6_20240721_140002.wav,430.76,431.06,False
./audio_data\New_data\PIKARU12_20240731_173002.wav,489.28,489.58,False
./audio_data\Original_data\PIKARU9_20240724_125002.wav,290.62,290.92,True
./audio_data\New_data\PIKARU15_20240727_164002.wav,425.92,426.22,False
./audio_data\Original_data\PIKARU11_20240731_100002.wav,44.0,44.3,False
./audio_data\Original_data\PIKARU10_20240719_150002.wav,125.84,126.14,False
./audio_data\Original_data\Pika_Camp_recording_2.wav,35.42,35.72,True
./audio_data\Original_data\PIKARU11_20240728_131002.wav,408.98,409.28,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T5_20210703_051500.mp3,136.84,137.14,False
./audio_data\Original_data\PIKARU25_20240810_083002.wav,188.32,188.62,False
./audio_data\Original_data\STE-038.wav,334.84,335.14,False
./audio_data\Original_data\PIKARU5_20240726_142002.wav,450.56,450.86,False
./audio_data\Original_data\PIKARU23_20240808_202002.wav,423.28,423.58,False
./audio_data\Original_data\PIKARU4_20240720_141002.wav,369.38,369.68,False
./audio_data\Original_data\PIKARU25_20240808_193002.wav,498.3,498.6,False
./audio_data\New_data\PIKARU6_20240722_114002.wav,123.64,123.94,True
./audio_data\Original_data\PIKARU8_20240719_081002.wav,135.52,135.82000000000002,False
./audio_data\New_data\PIKARU5_20240724_115002.wav,27.94,28.24,False
./audio_data\Original_data\PIKARU3_20240720_112002.wav,221.32,221.62,False
./audio_data\New_data\PIKARU7_20240722_110002.wav,431.64,431.94,True
./audio_data\New_data\PIKARU6_20240722_114002.wav,16.94,17.240000000000002,True
./audio_data\New_data\PIKARU6_20240722_114002.wav,106.26,106.56,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T1_20210613_033000.mp3,49.06,49.36,True
./audio_data\Original_data\PIKARU25_20240809_100002.wav,117.04,117.34,False
./audio_data\New_data\PIKARU3_20240724_101002.wav,398.64,398.94,False
./audio_data\Original_data\STE-039.wav,19.14,19.44,False
./audio_data\Original_data\PIKARU21_20240812_161002.wav,14.74,15.04,False
./audio_data\Original_data\PIKARU7_20240719_085002.wav,387.64,387.94,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T2_20210614_031500.mp3,291.06,291.36,False
./audio_data\Original_data\PIKARU1_20240725_135002.wav,496.98,497.28,False
./audio_data\Original_data\PIKARU11_20240728_131002.wav,13.2,13.5,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T4_20210628_043000.mp3,150.48,150.78,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T1_20210613_033000.mp3,158.62,158.92000000000002,False
./audio_data\Original_data\PIKARU8_20240722_145002.wav,432.52,432.82,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210623_050000.mp3,254.1,254.4,False
./audio_data\New_data\PIKARU15_20240731_150002.wav,242.0,242.3,False
./audio_data\Original_data\PIKARU12_20240731_110002.wav,330.0,330.3,False
./audio_data\Original_data\PIKARU5_20240726_142002.wav,529.1,529.4,False
./audio_data\Original_data\PIKARU22_20240813_085002.wav,6.16,6.46,False
./audio_data\Original_data\PIKARU9_20240724_125002.wav,202.84,203.14,False
./audio_data\New_data\PIKARU12_20240726_191002.wav,451.66,451.96,False
./audio_data\Original_data\PIKARU13_20240801_084002.wav,430.54,430.84,False
./audio_data\Original_data\PIKARU2_20240724_090002.wav,340.78,341.08,True
./audio_data\Original_data\PIKARU5_20240726_142002.wav,481.8,482.1,False
./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.mp3,121.66,121.96,False
./audio_data\New_data\PIKARU8_20240720_133002.wav,340.56,340.86,False
./audio_data\Original_data\PIKARU6_20240721_140002.wav,47.08,47.38,False
./audio_data\Original_data\PIKARU9_20240724_125002.wav,53.24,53.54,True
./audio_data\Original_data\PIKARU25_20240810_185002.wav,451.44,451.74,False
./audio_data\New_data\PIKARU15_20240731_150002.wav,453.86,454.16,False
./audio_data\New_data\PIKARU3_20240724_101002.wav,478.5,478.8,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248919-T1_20210709_070000.mp3,109.56,109.86,False
./audio_data\Original_data\PIKARU6_20240724_135002.wav,337.04,337.34000000000003,True
./audio_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.mp3,247.72,248.02,False
./audio_data\New_data\PIKARU23_20240812_183002.wav,539.88,540.18,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-261611-S3_20210616_061500.mp3,273.24,273.54,False
./audio_data\Original_data\PIKARU15_20240729_113002.wav,21.12,21.42,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210702_051500.mp3,287.32,287.62,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210702_051500.mp3,32.34,32.64,True
./audio_data\Original_data\PIKARU14_20240729_163002.wav,228.14,228.44,False
./audio_data\New_data\PIKARU8_20240720_133002.wav,594.0,594.3,True
./audio_data\Original_data\PIKARU11_20240728_131002.wav,559.46,559.76,False
./audio_data\Original_data\PIKARU8_20240719_081002.wav,175.56,175.86,False
./audio_data\Original_data\PIKARU6_20240721_140002.wav,391.16,391.46,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T1_20210615_044500.mp3,133.98,134.28,True
./audio_data\Original_data\PIKARU11_20240728_131002.wav,550.88,551.18,False
./audio_data\Original_data\PIKARU12_20240728_095002.wav,199.76,200.06,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T1_20210616_080000.mp3,137.72,138.02,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-266936-T3_20210703_030000.mp3,69.3,69.6,True
./audio_data\Original_data\PIKARU25_20240808_193002.wav,374.66,374.96,False
./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190718_074500.mp3,103.62,103.92,False
./audio_data\Original_data\PIKARU1_20240725_135002.wav,493.46,493.76,False
./audio_data\Original_data\PIKARU10_20240720_182002.wav,144.54,144.84,False
./audio_data\Original_data\PIKARU12_20240731_110002.wav,594.22,594.52,False
./audio_data\New_data\PIKARU6_20240722_114002.wav,554.18,554.4799999999999,True
./audio_data\New_data\PIKARU7_20240722_110002.wav,314.38,314.68,True
./audio_data\New_data\PIKARU12_20240726_191002.wav,3.74,4.04,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-261611-S3_20210711_044500.mp3,104.94,105.24,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-258111-T2_20210616_090000.mp3,238.04,238.34,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-259270-T3_20210627_074500.mp3,268.18,268.48,True
./audio_data\New_data\PIKARU7_20240722_110002.wav,510.62,510.92,False
./audio_data\New_data\PIKARU15_20240731_150002.wav,287.32,287.62,False
./audio_data\New_data\PIKARU6_20240722_114002.wav,86.46,86.75999999999999,True
./audio_data\Original_data\PIKARU14_20240728_102002.wav,129.14,129.44,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-266936-T2_20210621_030000.mp3,73.04,73.34,True
./audio_data\Original_data\PIKARU25_20240811_131002.wav,564.08,564.38,False
./audio_data\Original_data\PIKARU10_20240720_182002.wav,530.42,530.7199999999999,False
./audio_data\New_data\PIKARU8_20240720_133002.wav,408.76,409.06,True
./audio_data\Original_data\PIKARU25_20240811_190002.wav,33.66,33.959999999999994,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T2_20210614_031500.mp3,142.34,142.64,True
./audio_data\New_data\PIKARU3_20240724_101002.wav,375.98,376.28,True
./audio_data\New_data\PIKARU11_20240728_092002.wav,496.76,497.06,False
./audio_data\Original_data\PIKARU6_20240724_135002.wav,167.42,167.72,True
./audio_data\Original_data\PIKARU15_20240726_194002.wav,143.22,143.52,True
./audio_data\Original_data\PIKARU22_20240810_113002.wav,559.9,560.1999999999999,False
./audio_data\Original_data\PIKARU25_20240810_083002.wav,377.96,378.26,True
./audio_data\Original_data\PIKARU23_20240810_095002.wav,61.6,61.9,False
./audio_data\Original_data\PIKARU3_20240725_154002.wav,524.04,524.3399999999999,False
./audio_data\Original_data\PIKARU23_20240813_084002.wav,35.42,35.72,False
./audio_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.mp3,295.46,295.76,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T1_20210613_033000.mp3,16.72,17.02,True
./audio_data\Original_data\PIKARU1_20240725_135002.wav,173.36,173.66000000000005,True
./audio_data\CWS\CWS-NOR_EG-CARIB-A3_20190706_043000.mp3,259.16,259.46000000000004,False
./audio_data\Original_data\PIKARU13_20240801_084002.wav,311.74,312.04,False
./audio_data\Original_data\PIKARU3_20240721_124002.wav,335.28,335.58,False
./audio_data\New_data\PIKARU23_20240809_183002.wav,168.52,168.82000000000002,False
./audio_data\New_data\PIKARU11_20240728_092002.wav,24.2,24.5,False
./audio_data\Original_data\PIKARU12_20240727_121002.wav,521.18,521.4799999999999,False
./audio_data\New_data\PIKARU15_20240727_164002.wav,505.56,505.86,False
./audio_data\Original_data\PIKARU8_20240725_093002.wav,498.52,498.82,False
./audio_data\New_data\PIKARU11_20240727_104002.wav,218.24,218.54,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-266936-T2_20210714_070000.mp3,210.76,211.06,False
./audio_data\Original_data\PIKARU6_20240719_120002.wav,402.38,402.68,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T1_20210615_044500.mp3,159.06,159.36,True
./audio_data\Original_data\PIKARU14_20240729_163002.wav,429.0,429.3,False
./audio_data\New_data\PIKARU6_20240722_114002.wav,554.4,554.6999999999999,False
./audio_data\Original_data\PIKARU25_20240811_131002.wav,388.52,388.82,False
./audio_data\Original_data\PIKARU12_20240727_121002.wav,561.66,561.9599999999999,False
./audio_data\CWS\CWS-NOR_YTHEMP-SEM-288569-T2_20210704_034500.mp3,55.0,55.3,True
./audio_data\Original_data\PIKARU14_20240728_102002.wav,469.48,469.78,False
./audio_data\Original_data\PIKARU3_20240721_124002.wav,518.76,519.06,False
./audio_data\Original_data\PIKARU15_20240726_194002.wav,162.36,162.66000000000005,True
./audio_data\New_data\PIKARU15_20240731_150002.wav,144.76,145.06,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-261611-S3_20210615_074500.mp3,56.1,56.4,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-266936-T2_20210714_070000.mp3,33.44,33.739999999999995,False
./audio_data\Original_data\PIKARU25_20240810_083002.wav,122.54,122.84,False
./audio_data\Original_data\PIKARU10_20240719_150002.wav,391.16,391.46,False
./audio_data\Original_data\PIKARU5_20240727_094002.wav,427.9,428.2,False
./audio_data\New_data\PIKARU13_20240727_114002.wav,574.42,574.7199999999999,False
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-248350-S2_20210622_041500.mp3,297.66,297.96000000000004,True
./audio_data\New_data\PIKARU8_20240720_133002.wav,259.16,259.46000000000004,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-254641-T1_20210702_061500.mp3,253.0,253.3,False
./audio_data\Original_data\STE-038.wav,407.88,408.18,False
./audio_data\New_data\PIKARU12_20240731_173002.wav,184.14,184.44,False
./audio_data\New_data\PIKARU6_20240722_114002.wav,114.84,115.14,True
./audio_data\CWS\CWS-NOR_YTHEMP-YSL-272275-T1_20210613_033000.mp3,80.52,80.82,True
./audio_data\Original_data\PIKARU6_20240721_140002.wav,123.86,124.16,True
